"year","column_number","variable_name","variable_label","value_labels","variable_class","example_values","block","question","subitem","activity_number","questionnaire_section","file_component","readable_description"
"2017-18",22,"b4q8_per_fv","General Educaion Level","0 =  not literate; 0 = literate without formal schooling : EGS/ NFEC/ AEC; 0 =  literate without formal schooling: TLC; 0 = others; 0 = below primary; 0 = primary; 0 = middle; 0 = secondary; 0 = higher secondary; 0 = diploma/certificate course; 0 = graduate; 0 = postgraduate and above","haven_labelled/vctrs_vctr/character","08, 06, 10, 12, 05, 07, 01, 13, 04, 11",4,8,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","General Educaion Level"
"2017-18",23,"b4q9_per_fv","Technical Educaion Level","0 = no technical education; 0 = technical degree in agriculture; 0 = technical degree in engineering/  technology; 0 = technical degree in medicine; 0 = technical degree in crafts; 0 = technical degree in other subjects; 0 = diploma or certificate (below graduate level) in agriculture; 0 = diploma or certificate (below graduate level) in engineering; 0 = diploma or certificate (below graduate level) in medicine; 0 = diploma or certificate (below graduate level) in crafts; 0 = diploma or certificate (below graduate level) in other subje; 0 = diploma or certificate (graduate and above level) in agricul; 0 = diploma or certificate (graduate and above level) in enginee; 0 = diploma or certificate (graduate and above level) in medicin; 0 = diploma or certificate (graduate and above level) in crafts; 0 = diploma or certificate (graduate and above level) in other s","haven_labelled/vctrs_vctr/character","01, 04, 16, 11, 08, 09, 14, 06, 15, 13",4,9,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Technical Educaion Level"
"2017-18",24,"b4q10_per_fv","No. of years in Formal Education","","numeric","10, 8, 12, 6, 15, 1, 0, 4, 9, 7",4,10,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","No. of years in Formal Education"
"2017-18",25,"b4q11_per_fv","Status of Current Attendance in Educational Institution","0 = currently not attending, never attended: school too far; 0 = currently not attending, never attended: to supplement house; 0 = currently not attending, never attended: education not consi; 0 = currently not attending, never attended: to attend domestic; 0 = currently not attending, never attended: others; 0 = ever attended but currently not attending: school too far; 0 = ever attended but currently not attending: to supplement hou; 0 = ever attended but currently not attending: education not con; 0 =   ever attended but currently not attending: to attend domes; 0 = ever attended but currently not attending:  others; 0 = currently attending in: EGS/ NFEC/ AEC; 0 = currently attending in: TLC; 0 = currently attending in: pre-primary (nursery/ Kindergarten,; 0 = currently attending in: primary (class I to IV/ V); 0 = currently attending in: middle; 0 =  currently attending in: secondary; 0 =  currently attending in: higher secondary; 0 = graduate in: agriculture; 0 = graduate in: engineering/ technology; 0 = graduate in: medicine; 0 = graduate in: other subjects; 0 = graduate in: post graduate and above; 0 = diploma or certificate (below graduate level) in: agricultur; 0 = diploma or certificate (below graduate level) in: engineerin; 0 = diploma or certificate (below graduate level) in: medicine; 0 = diploma or certificate (below graduate level) in: crafts; 0 = diploma or certificate (below graduate level) in: other subj; 0 = diploma or certificate (graduate level) in: agriculture; 0 = diploma or certificate (graduate level) in: engineering/ tec; 0 = diploma or certificate (graduate level) in: medicine; 0 = diploma or certificate (graduate level) in:crafts; 0 = diploma or certificate (graduate level) in: other subjects; 0 = diploma or certificate  in post graduate and above level-","haven_labelled/vctrs_vctr/character",", 24, 26, 14, 25, 31, 27, 15, 05, 23",4,11,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Status of Current Attendance in Educational Institution"
"2017-18",26,"b4q12_per_fv","Whether received any Vocational/Technical Training","0 = received vocational/technical training other than formal voc; 0 = received vocational/technical training other than formal voc; 0 = received vocational/technical training other than formal voc; 0 = received vocational/technical training other than formal voc; 0 = did not receive any vocational/technical training; 0 = yes: received formal vocational/technical training","haven_labelled/vctrs_vctr/character",", 6, 3, 4, 5, 1, 2",4,12,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Whether received any Vocational/Technical Training"
"2017-18",27,"b4pt1q3_per_fv","Whether Training completed during last 365 Days","0 = No; 0 = yes","haven_labelled/vctrs_vctr/character",", 1, 2",4,3,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Whether Training completed during last 365 Days"
"2017-18",28,"b4pt1q4_per_fv","Field Of Training","0 = aerospace and aviation; 0 = agriculture, non-crop based agriculture, food processing; 0 = allied manufacturing- gems and jewellery, leather, rubber, f; 0 = artisan/craftsman/handicraft/creative arts and cottage based; 0 = automotive; 0 = beauty and wellness; 0 = chemical engineering, hydrocarbons, chemicals and petrochemi; 0 = civil engineering- construction, plumbing, paints and coatin; 0 = electrical, power and electronics; 0 = healthcare and life sciences; 0 = hospitality and tourism; 0 = iron and steel, mining, earthmoving and infra building; 0 = IT-ITeS; 0 = logistics; 0 = mechanical engineering-capital goods, strategic manufacturin; 0 = media-journalism, mass communication and entertainment; 0 = office and business related work; 0 = security; 0 = telecom; 0 = textiles and handlooms, apparels; 0 = work related to childcare, nutrition, pre-school and crÃ¨che; 0 = other","haven_labelled/vctrs_vctr/character",", 99, 08, 12, 10, 15, 04, 09, 21, 20",4,4,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Field Of Training"
"2017-18",29,"b4pt1q5_per_fv","Duration Of Training","0 = 3 months or more but less than 6 months; 0 = 6 months or more but less than 12 months; 0 = 12 months or more but less than 18 months; 0 = 18 months or more but less than 24 months; 0 = 24 months or more-; 0 = less than 3 months","haven_labelled/vctrs_vctr/character",", 4, 3, 6, 2, 1, 5",4,5,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Duration Of Training"
"2017-18",30,"b4pt1q6_per_fv","Type Of Training","0 = other than on the job: part time; 0 =  other than on the job: full time; 0 = on the job","haven_labelled/vctrs_vctr/character",", 3, 1, 2",4,6,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Type Of Training"
"2017-18",31,"b4pt1q7_per_fv","Source Of Funding The Training","0 = own funding; 0 = other; 0 = govt","haven_labelled/vctrs_vctr/character",", 2, 9, 1",4,7,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Source Of Funding The Training"
"2017-18",32,"b5pt1q3_per_fv","Status Code","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","11, 93, 31, 94, 92, 91, 95, 97, 51, 21",5,3,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Status Code"
"2017-18",33,"b5pt1q5_per_fv","Industry Code (NIC)","","character","01111, , 11045, 85102, 01121, 25932, 31001, 41001, 14105, 84220",5,5,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Industry Code (NIC)"
"2017-18",34,"b5pt1q6_per_fv","Occupation Code (NCO)","","character","611, , 932, 331, 722, 712, 931, 743, 516, 344",5,6,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Occupation Code (NCO)"
"2017-18",35,"b5pt1q7_per_fv","Whether Engaged In Any Work In Subsidiary Capacity","0 = No; 0 = yes","haven_labelled/vctrs_vctr/character","2, 1",5,7,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Whether Engaged In Any Work In Subsidiary Capacity"
"2017-18",36,"b5pt1q8_per_fv","(Principal)location Of Workplace Code","0 =   workplace in rural areas and located in dwelling unit; 0 =  workplace in rural areas and located in structure attached; 0 = workplace in rural areas and located in detached structure a; 0 = workplace in rural areas and located in own enterprise/unit/; 0 = workplace in rural areas and located in employerâ€™s dwelling; 0 = workplace in rural areas and located in employerâ€™s enterpris; 0 = workplace in rural areas and located in street with fixed lo; 0 = workplace in rural areas and located in construction site; 0 = workplace in rural areas and located in others; 0 = workplace in urban areas and located in: dwelling unit; 0 = workplace in urban areas and located in: structure attached; 0 = workplace in urban areas and located in: detached structure; 0 = workplace in urban areas and located in: own enterprise/unit; 0 = workplace in urban areas and located in: employerâ€™s dwelling; 0 = workplace in urban areas and located in: employerâ€™s enterpri; 0 = workplace in urban areas and located in: street with fixed l; 0 = workplace in urban areas and located in: construction site; 0 = workplace in urban areas and located in: others; 0 = no fixed workplace","haven_labelled/vctrs_vctr/character",", 26, 11, 14, 18, 10, 16, 15, 99, 28",5,8,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal)location Of Workplace Code"
"2017-18",37,"b5pt1q9_per_fv","(Principal) Enterprise Type Code","0 = proprietary: male; 0 = proprietary: female; 0 = partnership: with members from same household; 0 = partnership: with members from different  household; 0 = partnership: Government/local body; 0 = partnership: Public Sector Enterprises; 0 = partnership: Autonomous Bodies; 0 = partnership: Public/Private limited company; 0 = partnership: Co-operative societies; 0 = partnership: trust/other non-profit institutions; 0 = partnership: employerâ€™s households(i.e., private households; 0 = partnership: others","haven_labelled/vctrs_vctr/character",", 08, 05, 01, 02, 19, 03, 11, 12, 06",5,9,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) Enterprise Type Code"
"2017-18",38,"b5pt1q10_per_fv","(Principal) No. Of Workers In The Enterprise","0 = 6 and above but less than 10; 0 = 10 and above but less than 20; 0 = 20 and abobe; 0 = not known; 0 =  less than 6","haven_labelled/vctrs_vctr/character",", 4, 2, 1, 9, 3",5,10,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) No. Of Workers In The Enterprise"
"2017-18",39,"b5pt1q11_per_fv","(Principal)  Type Of Job Contract","0 = written job contract for   1  year or less; 0 = written job contract more than 1 year to 3  years; 0 = written job contract more than 3 years; 0 = no written  job contract","haven_labelled/vctrs_vctr/character",", 1, 4, 3, 2",5,11,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal)  Type Of Job Contract"
"2017-18",40,"b5pt1q12_per_fv","(Principal) Eligble Of Paid Leave","0 = No; 0 = yes","haven_labelled/vctrs_vctr/character",", 2, 1",5,12,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) Eligble Of Paid Leave"
"2017-18",41,"b5pt1q13_per_fv","(Principal) Social Security Benefits","0 = only PF/ pension (i.e., GPF, CPF, PPF, pension,  etc.); 0 = only gratuity; 0 = only health care &  maternity benefits; 0 = only PF/ pension  and gratuity; 0 = only PF/ pension and health care & maternity benefits; 0 = only gratuity and health care & maternity benefits; 0 = PF/ pension, gratuity, health care  & maternity benefits; 0 = not  eligible for  any of above social security benefit; 0 = not known","haven_labelled/vctrs_vctr/character",", 8, 7, 5, 4, 6, 3, 1, 9, 2",5,13,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) Social Security Benefits"
"2017-18",42,"b5pt2q3_per_fv","Status Code","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 21, 12, 51, 41, 31",5,3,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Status Code"
"2017-18",43,"b5pt2q5_per_fv","Industry Code (NIC)","","character",", 01121, 01111, 01112, 01113, 01411, 01123, 49231, 01412, 52219",5,5,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Industry Code (NIC)"
"2017-18",44,"b5pt2q6_per_fv","Occupation Code (NCO)","","character",", 611, 920, 612, 121, 613, 931, 522, 523, 733",5,6,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Occupation Code (NCO)"
"2017-18",45,"b5pt2q7_per_fv","(Subsidiary) location Of Workplace Code","0 =   workplace in rural areas and located in dwelling unit; 0 =  workplace in rural areas and located in structure attached; 0 = workplace in rural areas and located in detached structure a; 0 = workplace in rural areas and located in own enterprise/unit/; 0 = workplace in rural areas and located in employerâ€™s dwelling; 0 = workplace in rural areas and located in employerâ€™s enterpris; 0 = workplace in rural areas and located in street with fixed lo; 0 = workplace in rural areas and located in construction site; 0 = workplace in rural areas and located in others; 0 = workplace in urban areas and located in: dwelling unit; 0 = workplace in urban areas and located in: structure attached; 0 = workplace in urban areas and located in: detached structure; 0 = workplace in urban areas and located in: own enterprise/unit; 0 = workplace in urban areas and located in: employerâ€™s dwelling; 0 = workplace in urban areas and located in: employerâ€™s enterpri; 0 = workplace in urban areas and located in: street with fixed l; 0 = workplace in urban areas and located in: construction site; 0 = workplace in urban areas and located in: others; 0 = no fixed workplace","haven_labelled/vctrs_vctr/character",", 13, 19, 11, 18, 16, 14, 17, 99, 10",5,7,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary) location Of Workplace Code"
"2017-18",46,"b5pt2q8_per_fv","(Subsidiary)  Enterprise Type Code","0 = proprietary: male; 0 = proprietary: female; 0 = partnership: with members from same household; 0 = partnership: with members from different  household; 0 = partnership: Government/local body; 0 = partnership: Public Sector Enterprises; 0 = partnership: Autonomous Bodies; 0 = partnership: Public/Private limited company; 0 = partnership: Co-operative societies; 0 = partnership: trust/other non-profit institutions; 0 = partnership: employerâ€™s households(i.e., private households; 0 = partnership: others","haven_labelled/vctrs_vctr/character",", 01, 02, 05, 19, 08, 03, 04, 12, 11",5,8,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)  Enterprise Type Code"
"2017-18",47,"b5pt2q9_per_fv","(Subsidiary)  No. Of Workers In The Enterprise","0 = 6 and above but less than 10; 0 = 10 and above but less than 20; 0 = 20 and abobe; 0 = not known; 0 =  less than 6","haven_labelled/vctrs_vctr/character",", 1, 4, 3, 9, 2",5,9,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)  No. Of Workers In The Enterprise"
"2017-18",48,"b5pt2q10_per_fv","(Subsidiary)   Type Of Job Contract","0 = written job contract for   1  year or less; 0 = written job contract more than 1 year to 3  years; 0 = written job contract more than 3 years; 0 = no written  job contract","haven_labelled/vctrs_vctr/character",", 1, 4, 2, 3",5,10,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)   Type Of Job Contract"
"2017-18",49,"b5pt2q11_per_fv","(Subsidiary)  Eligble Of Paid Leave","0 = No; 0 = yes","haven_labelled/vctrs_vctr/character",", 2, 1",5,11,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)  Eligble Of Paid Leave"
"2017-18",50,"b5pt2q12_per_fv","(Subsidiary)  Social Security Benefits","0 = only PF/ pension (i.e., GPF, CPF, PPF, pension,  etc.); 0 = only gratuity; 0 = only health care &  maternity benefits; 0 = only PF/ pension  and gratuity; 0 = only PF/ pension and health care & maternity benefits; 0 = only gratuity and health care & maternity benefits; 0 = PF/ pension, gratuity, health care  & maternity benefits; 0 = not  eligible for  any of above social security benefit; 0 = not known","haven_labelled/vctrs_vctr/character",", 8, 9, 3, 2, 5, 4, 1, 7, 6",5,12,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)  Social Security Benefits"
"2017-18",51,"b6q4_3pt1_Act1_per_fv","Status Code for activity 1","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","11, 93, 31, 94, 92, 91, 95, 97, 51, 21",6,4,1,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 1"
"2017-18",52,"b6q5_3pt1_Act1__per_fv","Industry Code (NIC) for activity 1","","character","01, , 11, 85, 25, 31, 41, 14, 84, 69",6,5,1,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 1"
"2017-18",53,"b6q6_3pt1_Act1_per_fv","hours actuallly worked for activity 1 on 7 th day","","numeric","6, 0, 8, 5, 2, 4, 12, 10, 7, 3",6,6,1,1,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 1 on 7 th day"
"2017-18",54,"b6q9_3pt1_Act1_per_fv","wage earning for activity 1 on 7 th day","","numeric","0, 400, 350, 300, 200, 250, 100, 160, 179, 150",6,9,1,1,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 1 on 7 th day"
"2017-18",55,"b6q4_3pt1__Act2_per_fv","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 21, 12, 42, 62, 51, 31, 41, 72",6,4,1,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 2"
"2017-18",56,"b6q5_3pt1_Act2_per_fv","Industry Code (NIC) for activity 2","","character",", 01, 47, 41, 14, 42, 43, 65, 31, 03",6,5,1,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 2"
"2017-18",57,"b6q6_3pt1_Act2_per_fv","hours actuallly worked for activity 2 on 7 th day","","numeric","0, 4, 2, 1, 3, 8, 7, 6, 5, 10",6,6,1,2,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 2 on 7 th day"
"2017-18",58,"b6q9_3pt1_Act2_per_fv","wage earning for activity 2 on 7 th day","","numeric","0, 179, 400, 300, 200, 250, 120, 140, 150, 270",6,9,1,2,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 2 on 7 th day"
"2017-18",59,"b6q7_3pt1_per_fv","total hours actually worked on 7th day","","numeric","6, 0, 8, 5, 2, 4, 12, 10, 7, 3",6,7,1,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","total hours actually worked on 7th day"
"2017-18",60,"b6q8_3pt1_per_fv","hours available for aditional worked on 7th day","","numeric","0, 2, 4, 3, 5, 1, 9, 8, 6, 10",6,8,1,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","hours available for aditional worked on 7th day"
"2017-18",61,"b6q4_3pt2_Act1_per_fv","Status Code for activity 1","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","11, 93, 31, 94, 92, 91, 95, 97, 51, 21",6,4,2,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 1"
"2017-18",62,"b6q5_3pt2_Act1_per_fv","Industry Code (NIC) for activity 1","","character","01, , 11, 85, 25, 31, 41, 14, 84, 69",6,5,2,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 1"
"2017-18",63,"b6q6_3pt2_Act1_per_fv","hours actuallly worked for activity 1 on 6 th day","","numeric","6, 0, 8, 5, 2, 4, 12, 10, 7, 3",6,6,2,1,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 1 on 6 th day"
"2017-18",64,"b6q9_3pt2_Act1_per_fv","wage earning for activity 1 on 7 th day","","numeric","0, 400, 350, 300, 200, 250, 100, 160, 179, 150",6,9,2,1,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 1 on 7 th day"
"2017-18",65,"b6q4_3pt2_Act2_per_fv","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 12, 21, 31, 42, 62, 51, 41, 72",6,4,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 2"
"2017-18",66,"b6q5_3pt2_Act2_per_fv","Industry Code (NIC) for activity 2","","character",", 01, 41, 47, 85, 14, 42, 43, 65, 31",6,5,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 2"
"2017-18",67,"b6q6_3pt2_Act2_per_fv","hours actuallly worked for activity 2 on 6 th day","","numeric","0, 4, 2, 3, 1, 6, 8, 5, 7, 10",6,6,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 2 on 6 th day"
"2017-18",68,"b6q9_3pt2_Act2_per_fv","wage earning for activity 2 on 6 th day","","numeric","0, 179, 400, 300, 120, 140, 250, 160, 100, 200",6,9,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 2 on 6 th day"
"2017-18",69,"b6q7_3pt2_per_fv","total hours actually worked on 6th day","","numeric","6, 0, 8, 5, 2, 4, 12, 10, 7, 3",6,7,2,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","total hours actually worked on 6th day"
"2017-18",70,"b6q8_3pt2_per_fv","hours available for aditional worked on 6th day","","numeric","0, 2, 4, 3, 1, 5, 6, 8, 10, 7",6,8,2,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","hours available for aditional worked on 6th day"
