"X2017_18","X2018_19","X2020_21","X2022","X2023","X2024","X2025"
"b4q4_per_fv","b4q4_per_fv","b4q4_perv1","b4q4_cperv1","b4q4_cperv1","Day2_Act1_Status_Code","das17"
"b4q5_per_fv","b4q5_per_fv","b4q5_perv1","b4q5_cperv1","b4q5_cperv1","Day2_Act1_Wage","das21"
"b4q6_per_fv","b4q6_per_fv","b4q6_perv1","b4q6_perv1","b4q6_perv1","Day2_Act2_Hours","das22"
"b4q7_per_fv","b4q7_per_fv","b4q7_perv1","b4q7_cperv1","b4q7_cperv1","Day2_Act2_Industry_Code","das23"
"b4q8_per_fv","b4q8_per_fv","b4q8_perv1","b4q8_cperv1","b4q8_cperv1","Day2_Act2_Status_Code","das24"
"b4q9_per_fv","b4q9_per_fv","b4q9_perv1","b4q9_cperv1","b4q9_cperv1","Day2_Act2_Wage","das25"
"b5pt1q10_per_fv","b5pt1q10_per_fv","b5pt1q10_perv1","b5pt1q10_cperv1","b5pt1q10_cperv1","Day2_Additional_Work_Hours","das26"
"b5pt1q11_per_fv","b5pt1q11_per_fv","b5pt1q11_perv1","b5pt1q11_cperv1","b5pt1q11_cperv1","Day2_Total_Hours","das27"
"b5pt1q12_per_fv","b5pt1q12_per_fv","b5pt1q12_perv1","b5pt1q12_cperv1","b5pt1q12_cperv1","Day3_Act1_Hours","dc"
"b5pt1q13_per_fv","b5pt1q13_per_fv","b5pt1q13_perv1","b5pt1q13_cperv1","b5pt1q13_cperv1","Day3_Act1_Industry_Code","dur_pas"
"b5pt1q3_per_fv","b5pt1q3_per_fv","b5pt1q14_perv1","b5pt1q14_cperv1","b5pt1q14_cperv1","Day3_Act1_Status_Code","dur_sas"
"b5pt1q5_per_fv","b5pt1q5_per_fv","b5pt1q3_perv1","b5pt1q3_cperv1","b5pt1q3_cperv1","Day3_Act1_Wage","dur_unp"
"b5pt1q6_per_fv","b5pt1q6_per_fv","b5pt1q5_perv1","b5pt1q5_cperv1","b5pt1q5_cperv1","Day3_Act2_Hours","ecoprd_pas"
"b5pt1q7_per_fv","b5pt1q7_per_fv","b5pt1q6_perv1","b5pt1q6_cperv1","b5pt1q6_cperv1","Day3_Act2_Industry_Code","ecoprd_sas"
"b5pt1q8_per_fv","b5pt1q8_per_fv","b5pt1q7_perv1","b5pt1q7_cperv1","b5pt1q7_cperv1","Day3_Act2_Status_Code","eff_pas"
"b5pt1q9_per_fv","b5pt1q9_per_fv","b5pt1q8_perv1","b5pt1q8_cperv1","b5pt1q8_cperv1","Day3_Act2_Wage","ern_reg"
"b5pt2q10_per_fv","b5pt2q10_per_fv","b5pt1q9_perv1","b5pt1q9_cperv1","b5pt1q9_cperv1","Day3_Additional_Work_Hours","ern_self"
"b5pt2q11_per_fv","b5pt2q11_per_fv","b5pt2q10_perv1","b5pt2q10_cperv1","b5pt2q10_cperv1","Day3_Total_Hours","ern11"
"b5pt2q12_per_fv","b5pt2q12_per_fv","b5pt2q11_perv1","b5pt2q11_cperv1","b5pt2q11_cperv1","Day4_Act1_Hours","ern12"
"b5pt2q3_per_fv","b5pt2q3_per_fv","b5pt2q12_perv1","b5pt2q12_cperv1","b5pt2q12_cperv1","Day4_Act1_Industry_Code","ern13"
"b5pt2q5_per_fv","b5pt2q5_per_fv","b5pt2q13_perv1","b5pt2q13_cperv1","b5pt2q13_cperv1","Day4_Act1_Status_Code","ern14"
"b5pt2q6_per_fv","b5pt2q6_per_fv","b5pt2q3_perv1","b5pt2q3_cperv1","b5pt2q3_cperv1","Day4_Act1_Wage","ern15"
"b5pt2q7_per_fv","b5pt2q7_per_fv","b5pt2q5_perv1","b5pt2q5_cperv1","b5pt2q5_cperv1","Day4_Act2_Hours","ern16"
"b5pt2q8_per_fv","b5pt2q8_per_fv","b5pt2q6_perv1","b5pt2q6_cperv1","b5pt2q6_cperv1","Day4_Act2_Industry_Code","ern17"
"b5pt2q9_per_fv","b5pt2q9_per_fv","b5pt2q7_perv1","b5pt2q7_cperv1","b5pt2q7_cperv1","Day4_Act2_Status_Code","ern21"
"b6q10_per_fv","b6q10_per_fv","b5pt2q8_perv1","b5pt2q8_cperv1","b5pt2q8_cperv1","Day4_Act2_Wage","ern22"
"b6q4_3pt1__Act2_per_fv","b6q4_3pt1__Act2_per_fv","b5pt2q9_perv1","b5pt2q9_cperv1","b5pt2q9_cperv1","Day4_Additional_Work_Hours","ern23"
"b6q4_3pt1_Act1_per_fv","b6q4_3pt1_Act1_per_fv","b5pt3q10_perv1","b5pt3q10_cperv1","b5pt3q10_cperv1","Day4_Total_Hours","ern24"
"b6q4_3pt2_Act1_per_fv","b6q4_3pt2_Act1_per_fv","b5pt3q11_perv1","b5pt3q11_cperv1","b5pt3q11_cperv1","Day5_Act1_Hours","ern25"
"b6q4_3pt2_Act2_per_fv","b6q4_3pt2_Act2_per_fv","b5pt3q12_perv1","b5pt3q12_cperv1","b5pt3q12_cperv1","Day5_Act1_Industry_Code","ern26"
"b6q4_3pt3_Act1_per_fv","b6q4_3pt3_Act1_per_fv","b5pt3q5_perv1","b5pt3q5_cperv1","b5pt3q5_cperv1","Day5_Act1_Status_Code","ern27"
"b6q4_3pt3_Act2_per_fv","b6q4_3pt3_Act2_per_fv","b5pt3q6_perv1","b5pt3q6_cperv1","b5pt3q6_cperv1","Day5_Act1_Wage","etyp_pas"
"b6q4_3pt4_Act1_per_fv","b6q4_3pt4_Act1_per_fv","b5pt3q7_perv1","b5pt3q7_cperv1","b5pt3q7_cperv1","Day5_Act2_Hours","etyp_sas"
"b6q4_3pt4_Act2_per_fv","b6q4_3pt4_Act2_per_fv","b5pt3q8_perv1","b5pt3q8_cperv1","b5pt3q8_cperv1","Day5_Act2_Industry_Code","evr_wrk"
"b6q4_3pt5_Act1_per_fv","b6q4_3pt5_Act1_per_fv","b5pt3q9_perv1","b5pt3q9_cperv1","b5pt3q9_cperv1","Day5_Act2_Status_Code","file_id"
"b6q4_3pt5_Act2","b6q4_3pt5_Act2","b6q10_perv1","b6q10_cperv1","b6q10_cperv1","Day5_Act2_Wage","gedu_lvl"
"b6q4_3pt6_Act1","b6q4_3pt6_Act1","b6q4_3pt1_perv1","b6q4_3pt1_cperv1","b6q4_3pt1_cperv1","Day5_Additional_Work_Hours","grade"
"b6q4_3pt6_Act2","b6q4_3pt6_Act2","b6q4_3pt2","b6q4_3pt2_cperv1","b6q4_3pt2_cperv1","Day5_Total_Hours","grp"
"b6q4_3pt7_Act1","b6q4_3pt7_Act1","b6q4_3pt3_perv1","b6q4_3pt3_cperv1","b6q4_3pt3_cperv1","Day6_Act1_Hours","has_sas"
"b6q4_3pt7_Act2","b6q4_3pt7_Act2","b6q4_3pt4_perv1","b6q4_3pt4_cperv1","b6q4_3pt4_cperv1","Day6_Act1_Industry_Code","hr1"
"b6q5_3pt1_Act1__per_fv","b6q5_3pt1_Act1__per_fv","b6q4_3pt5_perv1","b6q4_3pt5_cperv1","b6q4_3pt5_cperv1","Day6_Act1_Status_Code","hr11"
"b6q5_3pt1_Act2_per_fv","b6q5_3pt1_Act2_per_fv","b6q4_3pt6_perv1","b6q4_3pt6_cperv1","b6q4_3pt6_cperv1","Day6_Act1_Wage","hr12"
"b6q5_3pt2_Act1_per_fv","b6q5_3pt2_Act1_per_fv","b6q4_3pt7_perv1","b6q4_3pt7_cperv1","b6q4_3pt7_cperv1","Day6_Act2_Hours","hr13"
"b6q5_3pt2_Act2_per_fv","b6q5_3pt2_Act2_per_fv","b6q4_act2_3pt1_perv1","b6q4_act2_3pt1_cperv1","b6q4_act2_3pt1_cperv1","Day6_Act2_Industry_Code","hr14"
"b6q5_3pt3_Act1_per_fv","b6q5_3pt3_Act1_per_fv","b6q4_act2_3pt2_perv1","b6q4_act2_3pt2_cperv1","b6q4_act2_3pt2_cperv1","Day6_Act2_Status_Code","hr15"
"b6q5_3pt3_Act2_per_fv","b6q5_3pt3_Act2_per_fv","b6q4_act2_3pt3_perv1","b6q4_act2_3pt3_cperv1","b6q4_act2_3pt3_cperv1","Day6_Act2_Wage","hr16"
"b6q5_3pt4_Act1_per_fv","b6q5_3pt4_Act1_per_fv","b6q4_act2_3pt4_perv1","b6q4_act2_3pt4_cperv1","b6q4_act2_3pt4_cperv1","Day6_Additional_Work_Hours","hr17"
"b6q5_3pt4_Act2_per_fv","b6q5_3pt4_Act2_per_fv","b6q4_act2_3pt5_act2_perv1","b6q4_act2_3pt5_cperv1","b6q4_act2_3pt5_cperv1","Day6_Total_Hours","hr2"
"b6q5_3pt5_Act1_per_fv","b6q5_3pt5_Act1_per_fv","b6q4_act2_3pt6_perv1","b6q4_act2_3pt6_cperv1","b6q4_act2_3pt6_cperv1","Day7_Act1_Hours","hr21"
"b6q5_3pt5_Act2","b6q5_3pt5_Act2","b6q4_act2_3pt7_perv1","b6q4_act2_3pt7_cperv1","b6q4_act2_3pt7_cperv1","Day7_Act1_Industry_Code","hr22"
"b6q5_3pt6_Act1","b6q5_3pt6_Act1","b6q5_3pt1_perv1","b6q5_3pt1_cperv1","b6q5_3pt1_cperv1","Day7_Act1_Status_Code","hr23"
"b6q5_3pt6_Act2","b6q5_3pt6_Act2","b6q5_3pt2","b6q5_3pt2_cperv1","b6q5_3pt2_cperv1","Day7_Act1_Wage","hr24"
"b6q5_3pt7_Act1","b6q5_3pt7_Act1","b6q5_3pt3_perv1","b6q5_3pt3_cperv1","b6q5_3pt3_cperv1","Day7_Act2_Hours","hr25"
"b6q5_3pt7_Act2","b6q5_3pt7_Act2","b6q5_3pt4_perv1","b6q5_3pt4_cperv1","b6q5_3pt4_cperv1","Day7_Act2_Industry_Code","hr26"
"b6q5_per_fv","b6q5_per_fv","b6q5_3pt5_perv1","b6q5_3pt5_cperv1","b6q5_3pt5_cperv1","Day7_Act2_Status_Code","hr27"
"b6q6_3pt1_Act1_per_fv","b6q6_3pt1_Act1_per_fv","b6q5_3pt6_perv1","b6q5_3pt6_cperv1","b6q5_3pt6_cperv1","Day7_Act2_Wage","hr3"
"b6q6_3pt1_Act2_per_fv","b6q6_3pt1_Act2_per_fv","b6q5_3pt7","b6q5_3pt7_cperv1","b6q5_3pt7_cperv1","Day7_Additional_Work_Hours","hr4"
"b6q6_3pt2_Act1_per_fv","b6q6_3pt2_Act1_per_fv","b6q5_act2_3pt1_perv1","b6q5_act2_3pt1_cperv1","b6q5_act2_3pt1_cperv1","Day7_Total_Hours","hr5"
"b6q6_3pt2_Act2_per_fv","b6q6_3pt2_Act2_per_fv","b6q5_act2_3pt2_perv1","b6q5_act2_3pt2_cperv1","b6q5_act2_3pt2_cperv1","District_Code","hr6"
"b6q6_3pt3_Act1_per_fv","b6q6_3pt3_Act1_per_fv","b6q5_act2_3pt3_perv1","b6q5_act2_3pt3_cperv1","b6q5_act2_3pt3_cperv1","Duration_Of_Training","hr7"
"b6q6_3pt3_Act2_per_fv","b6q6_3pt3_Act2_per_fv","b6q5_act2_3pt4_perv1","b6q5_act2_3pt4_cperv1","b6q5_act2_3pt4_cperv1","Ever_Worked","iflastyr"
"b6q6_3pt4_Act1_per_fv","b6q6_3pt4_Act1_per_fv","b6q5_act2_3pt5_perv1","b6q5_act2_3pt5_cperv1","b6q5_act2_3pt5_cperv1","Ever_Worked_365_Days","ind_pas"
"b6q6_3pt4_Act2_per_fv","b6q6_3pt4_Act2_per_fv","b6q5_act2_3pt6_perv1","b6q5_act2_3pt6_cperv1","b6q5_act2_3pt6_cperv1","Field_Of_Training","ind_sas"
"b6q6_3pt5_Act1_per_fv","b6q6_3pt5_Act1_per_fv","b6q5_act2_3pt7_perv1","b6q5_act2_3pt7_cperv1","b6q5_act2_3pt7_cperv1","File_Identification","ind11"
"b6q6_3pt5_Act2","b6q6_3pt5_Act2","b6q5_perv1","b6q5_cperv1","b6q5_cperv1","FOD_Sub_Region","ind12"
"b6q6_3pt6_Act1","b6q6_3pt6_Act1","b6q6_3pt1_perv1","b6q6_3pt1_cperv1","b6q6_3pt1_cperv1","FSU","ind13"
"b6q6_3pt6_Act2","b6q6_3pt6_Act2","b6q6_3pt2_perv1","b6q6_3pt2_cperv1","b6q6_3pt2_cperv1","General_Education_Level","ind14"
"b6q6_3pt7_Act1","b6q6_3pt7_Act1","b6q6_3pt3_perv1","b6q6_3pt3_cperv1","b6q6_3pt3_cperv1","Main_Reason_Principal_Status","ind15"
"b6q6_3pt7_Act2","b6q6_3pt7_Act2","b6q6_3pt4_perv1","b6q6_3pt4_cperv1","b6q6_3pt4_cperv1","Marital_Status","ind16"
"b6q6_per_fv","b6q6_per_fv","b6q6_3pt5_perv1","b6q6_3pt5_cperv1","b6q6_3pt5_cperv1","Ns_Count_Sector_Stratum_Substratum","ind17"
"b6q7_3pt1_per_fv","b6q7_3pt1_per_fv","b6q6_3pt6_perv1","b6q6_3pt6_cperv1","b6q6_3pt6_cperv1","Ns_Count_Sector_Stratum_Substratum_Subsample","ind21"
"b6q7_3pt2_per_fv","b6q7_3pt2_per_fv","b6q6_3pt7_perv1","b6q6_3pt7_cperv1","b6q6_3pt7_cperv1","NSS_Region","ind22"
"b6q7_3pt3_per_fv","b6q7_3pt3_per_fv","b6q6_act2_3pt1_perv1","b6q6_act2_3pt1_cperv1","b6q6_act2_3pt1_cperv1","Panel","ind23"
"b6q7_3pt4_per_fv","b6q7_3pt4_per_fv","b6q6_act2_3pt2_perv1","b6q6_act2_3pt2_cperv1","b6q6_act2_3pt2_cperv1","Person_Serial_No","ind24"
"b6q7_3pt5","b6q7_3pt5","b6q6_act2_3pt3_perv1","b6q6_act2_3pt3_cperv1","b6q6_act2_3pt3_cperv1","Principal_Duration","ind25"
"b6q7_3pt6","b6q7_3pt6","b6q6_act2_3pt4_perv1","b6q6_act2_3pt4_cperv1","b6q6_act2_3pt4_cperv1","Principal_Enterprise_Type","ind26"
"b6q7_3pt7_per_fv","b6q7_3pt7_per_fv","b6q6_act2_3pt5_perv1","b6q6_act2_3pt5_cperv1","b6q6_act2_3pt5_cperv1","Principal_Industry_Code","ind27"
"b6q7_per_fv","b6q7_per_fv","b6q6_act2_3pt6_perv1","b6q6_act2_3pt6_cperv1","b6q6_act2_3pt6_cperv1","Principal_Job_Contract_Type","job_pas"
"b6q8_3pt1_per_fv","b6q8_3pt1_per_fv","b6q6_act2_3pt7_perv1","b6q6_act2_3pt7_cperv1","b6q6_act2_3pt7_cperv1","Principal_Occupation_Code","job_sas"
"b6q8_3pt2_per_fv","b6q8_3pt2_per_fv","b6q6_perv1","b6q6_cperv1","b6q6_cperv1","Principal_Paid_Leave","leave_pas"
"b6q8_3pt3_per_fv","b6q8_3pt3_per_fv","b6q7_3pt1_perv1","b6q7_3pt2_cperv1","b6q7_3pt2_cperv1","Principal_Product_Usage","leave_sas"
"b6q8_3pt4_per_fv","b6q8_3pt4_per_fv","b6q7_3pt2_perv1","b6q7_3pt3_cperv1","b6q7_3pt3_cperv1","Principal_Social_Security","loc_pas"
"b6q8_3pt5","b6q8_3pt5","b6q7_3pt3_perv1","b6q7_3pt4_cperv1","b6q7_3pt4_cperv1","Principal_Status_Code","loc_sas"
"b6q8_3pt6","b6q8_3pt6","b6q7_3pt4_perv1","b6q7_3pt5_cperv1","b6q7_3pt5_cperv1","Principal_Workers_Count","marst"
"b6q8_3pt7_per_fv","b6q8_3pt7_per_fv","b6q7_3pt5_perv1","b6q7_3pt6_cperv1","b6q7_3pt6_cperv1","Principal_Workplace_Location","mfsu"
"b6q9_3pt1_Act1_per_fv","b6q9_3pt1_Act1_per_fv","b6q7_3pt6_perv1","b6q7_act2_3pt1_cperv1","b6q7_act2_3pt1_cperv1","Quarter","mnths"
"b6q9_3pt1_Act2_per_fv","b6q9_3pt1_Act2_per_fv","b6q7_3pt7_perv1","b6q7_act2_3pt7_cperv1","b6q7_act2_3pt7_cperv1","Reason_Not_Working","month"
"b6q9_3pt2_Act1_per_fv","b6q9_3pt2_Act1_per_fv","b6q7_perv1","b6q7_cperv1","b6q7_cperv1","Relationship_To_Head","mult"
"b6q9_3pt2_Act2_per_fv","b6q9_3pt2_Act2_per_fv","b6q8_3pt1","b6q8_3pt1_cperv1","b6q8_3pt1_cperv1","Sample_Household_Number","nsc"
"b6q9_3pt3_Act1_per_fv","b6q9_3pt3_Act1_per_fv","b6q8_3pt2_perv1","b6q8_3pt2_cperv1","b6q8_3pt2_cperv1","Sample_Sg_Sb_No","nss_reg"
"b6q9_3pt3_Act2_per_fv","b6q9_3pt3_Act2_per_fv","b6q8_3pt3","b6q8_3pt3_cperv1","b6q8_3pt3_cperv1","Schedule","ocu_cws"
"b6q9_3pt4_Act1_per_fv","b6q9_3pt4_Act1_per_fv","b6q8_3pt4_perv1","b6q8_3pt4_cperv1","b6q8_3pt4_cperv1","Second_Stage_Stratum_No","ocu_pas"
"b6q9_3pt4_Act2_per_fv","b6q9_3pt4_Act2_per_fv","b6q8_3pt5_perv1","b6q8_3pt5_cperv1","b6q8_3pt5_cperv1","Sector","ocu_sas"
"b6q9_3pt5_Act1_per_fv","b6q9_3pt5_Act1_per_fv","b6q8_3pt6_perv1","b6q8_3pt6_cperv1","b6q8_3pt6_cperv1","Sex","panel"
"b6q9_3pt5_Act2","b6q9_3pt5_Act2","b6q8_3pt7_perv1","b6q8_act2_3pt7_cperv1","b6q8_act2_3pt7_cperv1","State_Sector_Stratum_Substra","pas"
"b6q9_3pt6_Act1","b6q9_3pt6_Act1","b6q9_3pt1_perv1","b6q9_3pt1_cperv1","b6q9_3pt1_cperv1","State_UT_Code","qtr"
"b6q9_Act1_3pt7","b6q9_Act1_3pt7","b6q9_3pt2_perv1","b6q9_3pt2_cperv1","b6q9_3pt2_cperv1","Stratum","rea"
"b6q9_Act2_3pt6","b6q9_Act2_3pt6","b6q9_3pt3_perv1","b6q9_3pt3_cperv1","b6q9_3pt3_cperv1","Sub_Sample","rea_nw"
"b6q9_Act2_3pt7","b6q9_Act2_3pt7","b6q9_3pt4_perv1","b6q9_3pt4_cperv1","b6q9_3pt4_cperv1","Sub_Stratum","rel"
"b6q9_per_fv","b6q9_per_fv","b6q9_3pt5_perv1","b6q9_3pt5_cperv1","b6q9_3pt5_cperv1","Subsample_Multiplier","sas"
"FI_per_fv","FI_per_fv","b6q9_3pt6_perv1","b6q9_3pt6_cperv1","b6q9_3pt6_cperv1","Subsidiary_Duration","sch"
"fsu_per_fv","fsu_per_fv","b6q9_3pt7_perv1","b6q9_3pt7_cperv1","b6q9_3pt7_cperv1","Subsidiary_Enterprise_Type","sec"
"MULT_per_fv","MULT_per_fv","b6q9_act2_3pt1_perv1","b6q9_act2_3pt1_cperv1","b6q9_act2_3pt1_cperv1","Subsidiary_Industry_Code","secondary"
"No_qtr_per_fv","No_qtr_per_fv","b6q9_act2_3pt2_perv1","b6q9_act2_3pt2_cperv1","b6q9_act2_3pt2_cperv1","Subsidiary_Job_Contract_Type","sex"
"NSC_per_fv","NSC_per_fv","b6q9_act2_3pt3_perv1","b6q9_act2_3pt3_cperv1","b6q9_act2_3pt3_cperv1","Subsidiary_Occupation_Code","smallh"
"NSS_per_fv","NSS_per_fv","b6q9_act2_3pt4_perv1","b6q9_act2_3pt4_cperv1","b6q9_act2_3pt4_cperv1","Subsidiary_Paid_Leave","srl"
"nss_region_per_fv","nss_region_per_fv","b6q9_act2_3pt5_perv1","b6q9_act2_3pt5_cperv1","b6q9_act2_3pt5_cperv1","Subsidiary_Product_Usage","sro"
"quarter_per_fv","quarter_per_fv","b6q9_act2_3pt6_perv1","b6q9_act2_3pt6_cperv1","b6q9_act2_3pt6_cperv1","Subsidiary_Social_Security","ssec_pas"
"state_per_fv","state_per_fv","b6q9_act2_3pt7_perv1","b6q9_act2_3pt7_cperv1","b6q9_act2_3pt7_cperv1","Subsidiary_Status_Code","ssec_sas"
"visit_per_fv","visit_per_fv","b6q9_perv1","b6q9_cperv1","b6q9_cperv1","Subsidiary_Work_Engagement","sss"
"year","year","b7pt1_q10_perv1","distcode_cperv1","distcode_cperv1","Subsidiary_Workers_Count","sstrm"
NA,NA,"b7pt1_q11_perv1","FI_cperv1","FI_cperv1","Subsidiary_Workplace_Location","ssu"
NA,NA,"b7pt1_q12_perv1","mult_cperv1","mult_cperv1","Technical_Education_Level","st"
NA,NA,"b7pt1_q13_perv1","no_qtr_cperv1","no_qtr_cperv1","Training_Completed_365_Days","strm"
NA,NA,"b7pt1_q3_perv1","nsc_cperv1","nsc_cperv1","Training_Funding_Source","tedu_lvl"
NA,NA,"b7pt1_q4_perv1","nss_cperv1","nss_cperv1","Type_Of_Training","totadl_wrk"
NA,NA,"b7pt1_q5_perv1","nss_region_cperv1","nss_region_cperv1","Unemployment_Duration","totalsd"
NA,NA,"b7pt1_q6_perv1","panel_cperv1","panel_cperv1","Visit","tothrs_wrk"
NA,NA,"b7pt1_q8_perv1","qtr_cperv1","qtr_cperv1","Vocational_Training","trg"
NA,NA,"b7pt1_q9_perv1","state_cperv1","state_cperv1","Work_Search_Efforts","trg_com"
NA,NA,"b7pt2_q10_perv1","visit_cperv1","visit_cperv1","year","visit"
NA,NA,"b7pt2_q11_perv1","year","year","Years_Formal_Education","voc"
NA,NA,"b7pt2_q12_perv1",NA,NA,NA,"voc_cert"
NA,NA,"b7pt2_q13_perv1",NA,NA,NA,"voc_compl"
NA,NA,"b7pt2_q14_perv1",NA,NA,NA,"voc_dur"
NA,NA,"b7pt2_q15_perv1",NA,NA,NA,"voc_fld"
NA,NA,"b7pt2_q5_perv1",NA,NA,NA,"voc_fund"
NA,NA,"b7pt2_q6_perv1",NA,NA,NA,"voc_typ"
NA,NA,"b7pt2_q7_perv1",NA,NA,NA,"wrk_365"
NA,NA,"b7pt2_q8_perv1",NA,NA,NA,"wrkr_pas"
NA,NA,"distcode_perv1",NA,NA,NA,"wrkr_sas"
NA,NA,"FI_perv1",NA,NA,NA,"year"
NA,NA,"mult_perv1",NA,NA,NA,"yrsaft"
NA,NA,"no_qtr_perv1",NA,NA,NA,"yrsbef1"
NA,NA,"NSC_perv1",NA,NA,NA,"zst"
NA,NA,"NSS_perv1",NA,NA,NA,NA
NA,NA,"nss_region_perv1",NA,NA,NA,NA
NA,NA,"qtr_perv1",NA,NA,NA,NA
NA,NA,"state_perv1",NA,NA,NA,NA
NA,NA,"visit_perv1",NA,NA,NA,NA
NA,NA,"year",NA,NA,NA,NA
